step,energy,entropy,control_cost,total_cost
0,54.604931,7.222167,30.617055,55.633319
1,36.577442,7.233883,19.657775,37.497408
2,24.654208,7.233274,13.167879,25.509214
3,16.909474,7.218493,8.875515,17.720079
4,11.892262,7.184556,6.087411,12.671592
5,9.002882,7.139730,4.281214,9.759667
6,6.735145,7.088297,3.241037,7.476385
7,5.309264,7.026944,2.424652,6.036205
8,4.505943,6.970246,1.911335,5.222081
9,3.920468,6.937016,1.622140,4.630391
10,3.548492,6.911532,1.411369,4.253759
11,3.286958,6.854318,1.277457,3.985164
12,3.003803,6.852078,1.183305,3.700843
13,2.869188,6.846102,1.081369,3.564612
14,2.784547,6.823977,1.032908,3.477274
15,2.719641,6.785306,1.002437,3.408196
16,2.595255,6.780515,0.979071,3.283097
17,2.582692,6.791129,0.934292,3.271148
18,2.603726,6.804836,0.929769,3.293507
19,2.579019,6.766064,0.937341,3.264999
20,2.522969,6.797171,0.928447,3.211970
21,2.475145,6.765751,0.908269,3.160802
22,2.406656,6.791316,0.891052,3.094698
23,2.418260,6.766624,0.866396,3.103586
24,2.362013,6.762946,0.870574,3.047013
25,2.397957,6.776932,0.850325,3.084154
26,2.437002,6.770078,0.863265,3.122643
27,2.398925,6.734549,0.877321,3.081153
28,2.456502,6.785997,0.863613,3.143738
29,2.348842,6.796447,0.884341,3.037330
30,2.455121,6.772527,0.845583,3.140830
31,2.400579,6.802923,0.883844,3.089710
32,2.481666,6.781243,0.864208,3.168432
33,2.433945,6.762084,0.893400,3.119087
34,2.503564,6.795204,0.876220,3.191847
35,2.355298,6.785055,0.901283,3.042816
36,2.431674,6.798082,0.847907,3.119961
37,2.439739,6.786428,0.875402,3.127136
38,2.541490,6.786044,0.878306,3.228877
39,2.551202,6.763089,0.914936,3.236661
40,2.566421,6.796236,0.918433,3.255229
41,2.552949,6.790747,0.923912,3.241263
42,2.585706,6.817892,0.919062,3.276686
43,2.577999,6.825076,0.930854,3.269815
44,2.566616,6.789362,0.928080,3.254834
45,2.683581,6.787248,0.923982,3.371545
46,2.751393,6.798950,0.966089,3.440949
47,2.594994,6.780525,0.990502,3.282951
48,2.641803,6.784328,0.934198,3.329578
49,2.556018,6.777467,0.951049,3.243275
50,2.729358,6.791742,0.920166,3.417734
51,2.656675,6.792989,0.982569,3.345800
52,2.579996,6.763650,0.956403,3.265925
53,2.457297,6.781805,0.928799,3.144766
54,2.505543,6.776588,0.884627,3.192048
55,2.470016,6.793821,0.901996,3.158418
56,2.497100,6.806012,0.889206,3.186593
57,2.471332,6.798765,0.898956,3.160198
58,2.542962,6.806174,0.889679,3.232476
59,2.486062,6.827995,0.915466,3.178016
60,2.581557,6.817220,0.894982,3.272229
61,2.485117,6.786618,0.929361,3.173072
62,2.379506,6.808825,0.894642,3.069335
63,2.480720,6.798948,0.856622,3.169181
64,2.518820,6.792683,0.893059,3.207019
65,2.297237,6.789640,0.906775,2.985268
66,2.383474,6.764897,0.827005,3.068234
67,2.435572,6.777120,0.858051,3.121865
68,2.452651,6.805059,0.876806,3.141925
69,2.444518,6.781299,0.882954,3.131478
70,2.480181,6.771176,0.880027,3.166098
71,2.427358,6.776155,0.892865,3.113902
72,2.384428,6.774472,0.873849,3.070614
73,2.420033,6.730927,0.858394,3.101710
74,2.282314,6.754405,0.871212,2.966467
75,2.306143,6.773228,0.821633,2.991682
76,2.370259,6.761577,0.830212,3.054719
77,2.471605,6.785019,0.853293,3.158639
78,2.531876,6.782361,0.889778,3.219010
79,2.649200,6.815522,0.911475,3.339867
